title_checkouts,id_checkouts,author_checkouts,Title,work_id,best_book_id,author_goodreads,title_goodreads,tier
the woman warrior memoirs of a girlhood among ghosts,55917,maxine hong kingston,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,1759,30852,maxine hong kingston,the woman warrior memoirs of a girlhood among ghosts,exact
firestarter,158397,stephen king,Firestarter / Stephen King.,1803,233667,stephen king,firestarter,exact
skeleton crew,139033,stephen king,Skeleton crew / Stephen King.,1814,13440,stephen king,skeleton crew,exact
slouching towards bethlehem,165643,joan didion,Slouching Towards Bethlehem,1844,424,joan didion,slouching towards bethlehem essays,wgt_jaccard_0.2
ramona and her mother,62636,beverly cleary,Ramona and her mother / Beverly Cleary ; illustrated by Tracy Dockray.,1968,89551,beverly cleary,ramona and her mother,exact
henry and ribsy,37274,beverly cleary,Henry and Ribsy / Beverly Cleary ; illustrated by Tracy Dockray.,1976,244338,beverly cleary,henry and ribsy,exact
howl s moving castle,45502,diana jones wynne,Howl's moving castle / Diana Wynne Jones.,2001,6294,diana wynne jones,howl s moving castle 1 3,wgt_jaccard_0.25
howl s moving castle howl s castle series book 1,81744,diana wynne jones,"Howl's Moving Castle: Howl's Castle Series, Book 1",2001,6294,diana wynne jones,howl s moving castle 1 3,wgt_jaccard_0.3
howl s moving castle 4,86435,hayao miyazaki,Howl's moving castle. 4 / from the novel by Diana Wynne Jones ; screenplay written and directed by Hayao Miyazaki.,2001,6294,diana wynne jones,howl s moving castle 1 3,wgt_jaccard_0.35
howl s moving castle 3,92420,hayao miyazaki,Howl's moving castle. 3 / from the novel by Diana Wynne Jones; screenplay written and directed by Hayao Miyazaki.,2001,6294,diana wynne jones,howl s moving castle 1 3,wgt_jaccard_0.15
howl s moving castle howl s moving castle series book 1 unabridged unabridged,188500,diana wynne jones,"Howl's Moving Castle: Howl's Moving Castle Series, Book 1 (unabridged) (Unabridged)",2001,6294,diana wynne jones,howl s moving castle 1 3,wgt_jaccard_0.35
howl s moving castle 1,194850,hayao miyazaki,Howl's moving castle. 1 / from the novel by Diana Wynne Jones ; screenplay written and directed by Hayao Miyazaki.,2001,6294,diana wynne jones,howl s moving castle 1 3,wgt_jaccard_0.15
howl s moving castle 2,241789,hayao miyazaki,Howl's moving castle. 2 / from the novel by Diana Wynne Jones; screenplay written and directed by Hayao Miyazaki.,2001,6294,diana wynne jones,howl s moving castle 1 3,wgt_jaccard_0.35
anne of avonlea anne of green gables series book 2 unabridged unabridged,30550,l m montgomery,"Anne of Avonlea: Anne of Green Gables Series, Book 2 (unabridged) (Unabridged)",2114,8144,l m montgomery,anne of green gables and anne of avonlea,wgt_jaccard_0.4
anne of avonlea anne of green gables series book 2,35893,l m montgomery,"Anne of Avonlea: Anne of Green Gables Series, Book 2",2114,8144,l m montgomery,anne of green gables and anne of avonlea,wgt_jaccard_0.35
runny babbit,39125,shel silverstein,Runny Babbit : a billy sook / by Shel Silverstein.,2461,593236,shel silverstein,runny babbit,exact
runny babbit returns,60384,shel silverstein,Runny Babbit returns / another Billy Sook by Shel Silverstein.,2461,593236,shel silverstein,runny babbit,wgt_jaccard_0.3
the serpent s shadow,170528,rick riordan,The serpent's shadow / Rick Riordan.,2616,13997,mercedes lackey,the serpent s shadow,exact
the warrior s apprentice unabridged,222367,lois mcmaster bujold,The Warrior's Apprentice (Unabridged),2792,61906,lois mcmaster bujold,the warrior s apprentice,wgt_jaccard_0.2
whole world,86935,christopher corr,Whole world / illustrated by Christopher Corr ; sung by Fred Penner.,2870,27646,julia glass,the whole world over,wgt_jaccard_0.45
the viscount who loved me bridgerton family series book 2,33978,julia quinn,"The Viscount Who Loved Me: Bridgerton Family Series, Book 2",3363,861326,julia quinn,the viscount who loved me,wgt_jaccard_0.5
the happiness hypothesis finding modern truth in ancient wisdom,132611,jonathan haidt,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,3587,96884,jonathan haidt,the happiness hypothesis finding modern truth in ancient wisdom,exact
the haunting of hill house unabridged,107652,shirley jackson,The Haunting of Hill House (Unabridged),3627,89717,shirley jackson,the haunting of hill house,wgt_jaccard_0.15
the haunting of hill house,203573,shirley jackson,The Haunting of Hill House,3627,89717,shirley jackson,the haunting of hill house,exact
sharp objects,8963,gillian flynn,Sharp objects : a novel / Gillian Flynn.,3801,18045891,gillian flynn,sharp objects,exact
the grave s a fine and private place,2535,c bradley alan,The grave's a fine and private place / Alan Bradley.,3948,76718,peter s beagle,a fine and private place,wgt_jaccard_0.35
are you there god it s me margaret,30120,judy blume,"Are you there God? It's me, Margaret. / Judy Blume.",4121,37732,judy blume,are you there god it s me margaret,exact
these happy golden years,82932,laura wilder ingalls,These happy golden years / by Laura Ingalls Wilder ; illustrated by Garth Williams.,4132,77770,laura ingalls wilder,these happy golden years,exact
kitchen confidential adventures in the culinary underbelly unabridged unabridged,63288,anthony bourdain,Kitchen Confidential: Adventures in the Culinary Underbelly (unabridged) (Unabridged),4219,33313,anthony bourdain,kitchen confidential adventures in the culinary underbelly,wgt_jaccard_0.1
kitchen confidential adventures in the culinary underbelly,75302,anthony bourdain,Kitchen confidential : adventures in the culinary underbelly / Anthony Bourdain.,4219,33313,anthony bourdain,kitchen confidential adventures in the culinary underbelly,exact
the wishing spell,109580,chris colfer,The wishing spell / Chris Colfer ; illustrated by Brandon Dorman.,4230,30104,alan hollinghurst,the spell,wgt_jaccard_0.5
magic spell,177520,julie paschkis,Magic spell / words and picture by Julie Paschkis.,4230,30104,alan hollinghurst,the spell,wgt_jaccard_0.5
the view from saturday,21815,e konigsburg l,The view from Saturday / E.L. Konigsburg.,4242,4538,e l konigsburg,the view from saturday,exact
the seven principles for making marriage work,17625,john gottman mordechai,"The seven principles for making marriage work : a practical guide from the country's foremost relationship expert / by John Gottman, Ph.D., and Nan Silver.",4370,849380,john m gottman,the seven principles for making marriage work,exact
the seven principles for making marriage work,55252,john phd gottman,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,4370,849380,john m gottman,the seven principles for making marriage work,exact
the seven principles for making marriage work unabridged,148663,john gottman,The Seven Principles for Making Marriage Work (Unabridged),4370,849380,john m gottman,the seven principles for making marriage work,wgt_jaccard_0.1
the seven principles for making marriage work,215259,john ph gottman d,The Seven Principles for Making Marriage Work,4370,849380,john m gottman,the seven principles for making marriage work,exact
no god but god the origins evolution and future of islam unabridged unabridged,203458,reza aslan,"No god but God: The Origins, Evolution, and Future of Islam (unabridged) (Unabridged)",4372,25307,reza aslan,no god but god the origins evolution and future of islam,wgt_jaccard_0.1
what to expect the first year,9134,heidi murkoff,What to Expect the First Year,4462,98,heidi murkoff,what to expect the first year,exact
what to expect the first year,97597,heidi murkoff eisenberg,What to expect the first year / by Heidi Murkoff and Sharon Mazel ; foreword by Mark D. Widome.,4462,98,heidi murkoff,what to expect the first year,exact
on beyond zebra,243518,dr seuss,On beyond zebra / by Dr. Seuss.,4645,330,dr seuss,on beyond zebra,exact
play it as it lays,63800,joan didion,Play it as it lays : a novel / Joan Didion.,4703,428,joan didion,play it as it lays,exact
bowling alone the collapse and revival of american community unabridged unabridged,130446,robert d putnam,Bowling Alone: The Collapse and Revival of American Community (unabridged) (Unabridged),4743,478,robert d putnam,bowling alone the collapse and revival of american community,wgt_jaccard_0.1
the millionaire next door the surprising secrets of americas wealthy unabridged unabridged,209165,thomas j stanley,The Millionaire Next Door: The Surprising Secrets Of Americas Wealthy (unabridged) (Unabridged),5210,998,thomas j stanley,the millionaire next door the surprising secrets of america s wealthy,wgt_jaccard_0.35
the millionaire next door the surprising secrets of america s wealthy,216397,thomas stanley j,"The millionaire next door : the surprising secrets of America's wealthy / Thomas J. Stanley, William D. Danko ; foreword by Sarah Stanley Fallaw.",5210,998,thomas j stanley,the millionaire next door the surprising secrets of america s wealthy,exact
freakonomics,54133,steven levitt d,Freakonomics : a rogue economist explores the hidden side of everything / Steven D. Levitt & Stephen J. Dubner.,5397,1202,steven d levitt,freakonomics,exact
freakonomics,148951,steven d levitt,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,5397,1202,steven d levitt,freakonomics,exact
getting things done the art of stress free productivity,19194,david allen 1945 december 28,Getting things done : the art of stress-free productivity / David Allen.,5759,1633,david allen,getting things done how to achieve stress free productivity,wgt_jaccard_0.4
getting things done the art of stress free productivity unabridged unabridged,36926,david allen,Getting Things Done: The Art of Stress-Free Productivity (unabridged) (Unabridged),5759,1633,david allen,getting things done how to achieve stress free productivity,wgt_jaccard_0.45
getting things done the art of stress free productivity,240261,david allen,Getting Things Done: The Art of Stress-Free Productivity,5759,1633,david allen,getting things done how to achieve stress free productivity,wgt_jaccard_0.4
the 7 habits of highly effective people powerful lessons in personal change,49047,stephen covey r,The 7 habits of highly effective people : powerful lessons in personal change / Stephen R. Covey.,6276,2250,stephen r covey,the 7 habits of highly effective people personal workbook,wgt_jaccard_0.45
the 7 habits of highly effective people unabridged,1933,stephen r covey,The 7 Habits of Highly Effective People (Unabridged),6277,36072,stephen r covey,the 7 habits of highly effective people,wgt_jaccard_0.1
the 7 habits of highly effective people stephen r covey,81085,must read summaries,The 7 Habits of Highly Effective People - Stephen R. Covey,6277,36072,stephen r covey,the 7 habits of highly effective people,wgt_jaccard_0.4
the 7 habits of highly effective people,91741,stephen r covey,The 7 Habits of Highly Effective People,6277,36072,stephen r covey,the 7 habits of highly effective people,exact
the baby name wizard,53965,laura wattenberg,The baby name wizard : a magical method for finding the perfect name for your baby.,6499,2518,laura wattenberg,the baby name wizard,exact
how to cook everything vegetarian,142405,mark bittman,How to Cook Everything Vegetarian,6566,2603,mark bittman,how to cook everything the basics,wgt_jaccard_0.5
how to cook everything fast,208062,mark bittman,How to cook everything fast : a better way to cook great food / Mark Bittman ; illustrations by Olivia de Salve Villedieu.,6566,2603,mark bittman,how to cook everything the basics,wgt_jaccard_0.5
salt in his shoes michael jordan in pursuit of a dream,44654,deloris jordan,Salt in his shoes : Michael Jordan in pursuit of a dream / by Deloris Jordan with Roslyn M. Jordan ; illustrated by Kadir Nelson.,6651,2718,deloris jordan,salt in his shoes michael jordan in pursuit of a dream,exact
along the river,119067,vanina starkoff,Along the river / Vanina Starkoff ; translated by Jane Springer.,6815,2915,gary paulsen,the river,wgt_jaccard_0.5
personal finance for dummies,78307,eric tyson,"Personal finance for dummies / by Eric Tyson, MBA.",7386,3604,eric tyson,personal finance for dummies 5th edition,wgt_jaccard_0.4
white teeth,174409,zadie smith,White teeth : a novel / Zadie Smith.,7480,3711,zadie smith,white teeth,exact
heat,56300,jamie k schmidt,Heat,7577,28899,mike lupica,heat,exact
heat,173266,stuart woods,Heat,7577,28899,mike lupica,heat,exact
heat,608420,mike lupica,Heat,7577,28899,mike lupica,heat,exact
heat,1278965,opal carew,Heat,7577,28899,mike lupica,heat,exact
heat,1950261,britannica educational publishing,Heat,7577,28899,mike lupica,heat,exact
a history of the world in 6 glasses unabridged,49729,tom standage,A History of the World in 6 Glasses (Unabridged),7600,3872,tom standage,a history of the world in 6 glasses,wgt_jaccard_0.1
the old man and the sea,50357,ernest hemingway,The Old Man and the Sea,7601,3877,ernest hemingway,the old man and the sea,exact
a winter haunting unabridged,125554,dan simmons,A Winter Haunting (Unabridged),7699,3978,dan simmons,a winter haunting,wgt_jaccard_0.2
the little mouse the red ripe strawberry and the big hungry bear,87922,don wood,"The little mouse, the red ripe strawberry, and the big hungry bear / by Don and Audrey Wood ; illustrated by Don Wood.",8501,682920,don wood,the little mouse the red ripe strawberry and the big hungry bear,exact
the blank slate the modern denial of human nature,80460,steven pinker,The Blank Slate: The Modern Denial of Human Nature,9151,5752,steven pinker,the blank slate the modern denial of human nature,exact
the complete stories,73534,flannery o connor,The Complete Stories,9557,6248,david malouf,the complete stories,exact
the complete stories,155235,clarice lispector,The Complete Stories,9557,6248,david malouf,the complete stories,exact
the complete stories,541773,david malouf,The Complete Stories,9557,6248,david malouf,the complete stories,exact
the complete stories,1268938,bernard malamud,The Complete Stories,9557,6248,david malouf,the complete stories,exact
the bfg,201425,roald dahl,The BFG / Roald Dahl ; pictures by Quentin Blake.,9624,6323,roald dahl,the bfg,exact
on the other side of the garden,477281,jairo buitrago,On the other side of the garden / Jairo Buitrago ; pictures by Rafael Yockteng ; translated by Elisa Amado.,9690,6393,sylvia browne,life on the other side,wgt_jaccard_0.45
the city on the other side,728104,mairghread scott,The city on the other side / Mairghread Scott ; Robin Robinson.,9690,6393,sylvia browne,life on the other side,wgt_jaccard_0.4
teach your child to read in 100 easy lessons,5424,siegfried engelmann,"Teach your child to read in 100 easy lessons / Siegfried Engelmann, Phyllis Haddox, Elaine Bruner.",9876,6619,siegfried engelmann,teach your child to read in 100 easy lessons,exact
the enormous crocodile,112565,roald dahl,The enormous crocodile / Roald Dahl ; illustrated by Quentin Blake.,9921,6668,roald dahl,the enormous crocodile,exact
get a financial life personal finance in your twenties and thirties,142287,beth kobliner,Get a financial life : personal finance in your twenties and thirties / Beth Kobliner.,10025,27276378,beth kobliner,get a financial life personal finance in your twenties and thirties,exact
happy birthday to you by dr seuss,219877,dr seuss,Happy birthday to you! By Dr. Seuss.,10825,7775,dr seuss,happy birthday to you classic seuss,wgt_jaccard_0.4
homebody,2304245,joanna gaines,Homebody : a guide to creating spaces you never want to leave / Joanna Gaines.,10968,7965,orson scott card,homebody,exact
cloudy with a chance of meatballs,138862,judi barrett,Cloudy with a chance of meatballs / written by Judi Barrett ; and drawn by Ron Barrett.,11045,8073,judi barrett,cloudy with a chance of meatballs,exact
cloudy with a chance of meatballs 3 planet of the pies,192475,judi barrett,Cloudy with a chance of meatballs 3 : planet of the pies / written by Judi Barrett ; drawn by Isidre Mon̩s.,11045,8073,judi barrett,cloudy with a chance of meatballs,wgt_jaccard_0.4
the first four years,198010,laura wilder ingalls,The first four years / Laura Ingalls Wilder ; illustrated by Garth Williams.,11181,8296,laura ingalls wilder,the first four years,exact
today i feel silly and other moods that make my day,29167,jamie curtis lee,Today I feel silly & other moods that make my day / by Jamie Lee Curtis ; illustrated by Laura Cornell.,11687,8768,jamie lee curtis,today i feel silly and other moods that make my day,exact
who was william shakespeare,121067,celeste mannis davidson,Who was William Shakespeare? / by Celeste Davidson Mannis ; Illustrated by John O'Brien.,11771,8865,celeste davidson mannis,who was william shakespeare who was,wgt_jaccard_0.1
the name of the rose,117237,umberto eco,The Name of the Rose,12666,9910,denis johnson,the name of the world,wgt_jaccard_0.5
cuba,151994,brendan sainsbury,"Cuba / Brendan Sainsbury, Carolyn McCarthy.",13134,10423,brendan sainsbury,cuba,exact
i love you already,90377,jory john,I love you already! / by Jory John ; illustrated by Benji Davies.,13535,10938,billy crystal,i already know i love you,wgt_jaccard_0.25
she comes first the thinking man s guide to pleasuring a woman unabridged unabridged,92633,ian kerner,She Comes First: The Thinking Man's Guide to Pleasuring a Woman (unabridged) (Unabridged),13654,528985,ian kerner,she comes first the thinking man s guide to pleasuring a woman,wgt_jaccard_0.1
she comes first the thinking man s guide to pleasuring a woman,163234,ian kerner,She Comes First: The Thinking Man's Guide to Pleasuring a Woman,13654,528985,ian kerner,she comes first the thinking man s guide to pleasuring a woman,exact
horton hatches the egg,123862,dr seuss,Horton hatches the egg / by Dr. Seuss.,13809,11301,dr seuss,horton hatches the egg,exact
desperation unabridged,73262,stephen king,Desperation (Unabridged),14015,10584,stephen king,desperation,wgt_jaccard_0.3
stolen treasure,513771,winter morgan,Stolen treasure / Winter Morgan.,14289,11922,kelley armstrong,stolen,wgt_jaccard_0.5
consider phlebas,17735,iain banks,Consider Phlebas / Iain M. Banks.,14366,8935689,iain m banks,consider phlebas,exact
consider phlebas culture series book 1,70268,iain m banks,"Consider Phlebas: Culture Series, Book 1",14366,8935689,iain m banks,consider phlebas,wgt_jaccard_0.5
consider phlebas unabridged,227866,iain m banks,Consider Phlebas (Unabridged),14366,8935689,iain m banks,consider phlebas,wgt_jaccard_0.2
good rosie,1917382,kate dicamillo,Good Rosie! / Kate DiCamillo ; pictures by Harry Bliss.,14829,12536,anne lamott,rosie,wgt_jaccard_0.45
the spirit catches you and you fall down,63553,anne fadiman,"The spirit catches you and you fall down : a Hmong child, her american doctors, and the collison of two cultures / Anne Fadiman.",14895,12609,anne fadiman,the spirit catches you and you fall down,exact
carrie,33820,stephen king,Carrie / Stephen King.,14959,12677,stephen king,carrie,exact
carrie,260957,europe,Carrie,14959,12677,stephen king,carrie,exact
the kingfisher soccer encyclopedia,135828,clive gifford,The Kingfisher soccer encyclopedia / Clive Gifford.,15123,7861382,clive gifford,the kingfisher soccer encyclopedia,exact
4th of july women s murder club series book 4,12812,maxine paetro,"4th of July: Women's Murder Club Series, Book 4",15334,33668,james patterson,4th of july women s murder club 4,wgt_jaccard_0.15
life doesn t frighten me,136648,maya angelou,Life doesn't frighten me / poem by Maya Angelou ; paintings by Jean-Michel Basquiat ; edited by Sara Jane Boyers.,15382,13215,maya angelou,life doesn t frighten me,exact
the green mile,156029,stephen king,The green mile / Stephen King.,15599,11566,stephen king,the green mile,exact
lies my teacher told me everything your american history textbook got wrong,188504,james loewen w,Lies my teacher told me : everything your American history textbook got wrong / James W. Loewen.,15653,296662,james w loewen,lies my teacher told me everything your american history textbook got wrong,exact
lies my teacher told me everything your american history textbook got wrong,239830,james loewen,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,15653,296662,james w loewen,lies my teacher told me everything your american history textbook got wrong,exact
lies my teacher told me everything your american history textbook got wrong,1805528,james w loewen,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,15653,296662,james w loewen,lies my teacher told me everything your american history textbook got wrong,exact
the wave in the mind talks and essays on the writer the reader and the imagination,107043,le ursula guin k,"The wave in the mind : talks and essays on the writer, the reader, and the imagination / Ursula K. Le Guin.",15787,13650,ursula k le guin,the wave in the mind talks and essays on the writer the reader and the imagination,exact
the namesake,4269,jhumpa lahiri,The namesake / Jhumpa Lahiri.,16171,33917,jhumpa lahiri,the namesake,exact
the namesake unabridged,208141,jhumpa lahiri,The Namesake (Unabridged),16171,33917,jhumpa lahiri,the namesake,wgt_jaccard_0.25
full catastrophe living using the wisdom of your body and mind to face stress pain and illness,38591,kabat jon zinn,"Full catastrophe living : using the wisdom of your body and mind to face stress, pain, and illness / Jon Kabat-Zinn, PhD.",16180,589455,jon kabat zinn,full catastrophe living using the wisdom of your body and mind to face stress pain and illness,exact
full catastrophe living using the wisdom of your body and mind to face stress pain and illness,186539,jon kabat zinn,"Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness",16180,589455,jon kabat zinn,full catastrophe living using the wisdom of your body and mind to face stress pain and illness,exact
mindfulness for beginners unabridged,37754,jon kabat zinn,Mindfulness for Beginners (Unabridged),16181,14098,jon kabat zinn,mindfulness for beginners,wgt_jaccard_0.2
beauty and the beast,30801,jan brett,Beauty and the beast / retold and illustrated by Jan Brett.,16199,14116,marianna mayer,beauty and the beast,exact
beauty and the beast,38491,cynthia rylant,Beauty and the Beast / retold by Cynthia Rylant ; pictures by Meg Park.,16199,14116,marianna mayer,beauty and the beast,exact
beauty and the beast,81554,h lee chuku,Beauty and the beast : a retelling / by H. Chuku Lee ; illustrations by Pat Cummings.,16199,14116,marianna mayer,beauty and the beast,exact
beauty and the beast,150547,ursula jones,Beauty and the beast / Ursula Jones ; Sarah Gibb.,16199,14116,marianna mayer,beauty and the beast,exact
beauty and the beast,209563,mahlon craft f,Beauty & the beast / Jeanne-Marie Leprince de Beaumont ; as re told by Mahlon F. Craft ; and illustrated by Kinuko Y. Craft.,16199,14116,marianna mayer,beauty and the beast,exact
beauty and the beast,242562,melissa lagonegro,Beauty and the Beast / by Melissa Lagonegro ; illustrated by the Disney Storybook Art Team.,16199,14116,marianna mayer,beauty and the beast,exact
selected stories of philip k dick,61827,philip k dick,Selected Stories of Philip K. Dick,16258,14180,philip k dick,selected stories of philip k dick,exact
harriet gets carried away,574851,jessie sima,Harriet gets carried away / Jessie Sima.,16336,14279,alice munro,carried away,wgt_jaccard_0.5
teach us amelia bedelia,126801,peggy parish,"Teach us, Amelia Bedelia / Peggy Parish ; pictures by Lynn Sweat.",16511,14477,peggy parish,teach us amelia bedelia,exact
neverwhere,98589,neil gaiman,Neverwhere,16534,14497,neil gaiman,neverwhere,exact
neverwhere unabridged,199259,neil gaiman,Neverwhere (Unabridged),16534,14497,neil gaiman,neverwhere,wgt_jaccard_0.3
neuromancer,65452,william gibson,Neuromancer / William Gibson ; series introduction by Neil Gaiman.,16777,14772,william gibson,neuromancer,exact
the stranger,54996,harlan coben,The stranger / Harlan Coben.,17495,15660,chris van allsburg,the stranger,exact
the stranger,129837,albert camus,The stranger / Albert Camus ; translated from the French by Matthew Ward.,17495,15660,chris van allsburg,the stranger,exact
the stranger,201054,caroline b cooney,The Stranger,17495,15660,chris van allsburg,the stranger,exact
the stranger,280527,billy joel,The Stranger,17495,15660,chris van allsburg,the stranger,exact
the stranger,454277,,The Stranger,17495,15660,chris van allsburg,the stranger,exact
the berenstain bears learn about strangers,199624,stan berenstain,The Berenstain Bears learn about strangers / Stan & Jan Berenstain.,17500,764436,stan berenstain,the berenstain bears learn about strangers,exact
sideways stories from wayside school,126508,louis sachar,Sideways stories from Wayside School / by Louis Sachar ; illustrated by Julie Brinckloe.,17602,15782,louis sachar,sideways arithmetic from wayside school,wgt_jaccard_0.35
the death of the banker the decline and fall of the great financial dynasties and the triumph of the small investor unabridged unabridged,219583,ron chernow,The Death of the Banker: The Decline and Fall of the Great Financial Dynasties and the Triumph of the Small Investor (unabridged) (Unabridged),17909,16132,ron chernow,the death of the banker the decline and fall of the great financial dynasties and the triumph of the small investor vintage,wgt_jaccard_0.15
case histories,86096,kate atkinson,Case histories : a novel / Kate Atkinson.,18001,16243,kate atkinson,case histories,exact
the design of everyday things,116035,donald norman a,The design of everyday things / Don Norman.,18518,840,donald a norman,the psychology of everyday things,wgt_jaccard_0.5
the hello goodbye window,194966,norton juster,"The hello, goodbye window / story by Norton Juster ; pictures by Chris Raschka.",18603,16963,norton juster,the hello goodbye window,exact
collected essays,100463,james baldwin,"Collected essays / James Baldwin ; Toni Morrison, editor.",18758,17142,james baldwin,collected essays,exact
the other side,198575,jacqueline woodson,The other side / Jacqueline Woodson ; illustrations by Earl B. Lewis.,19196,17642,julia alvarez,the other side,exact
the far side of the world aubrey,15108,patrick o brian,"The Far Side of the World: Aubrey / Maturin Series, Book 10 (unabridged) (Unabridged)",19475,672492,patrick o brian,the far side of the world,wgt_jaccard_0.3
hand hand fingers thumb,23886,al perkins,"Hand, hand, fingers, thumb. / Illustrated by Eric Gurney.",19838,857501,al perkins,hand hand fingers thumb,exact
from far away,18666,robert munsch n,From far away / story by Robert Munsch and Saoussan Askar ; art by Rebecca Green.,20423,19125,robert munsch,from far away classic munsch,wgt_jaccard_0.45
essentials of classic italian cooking,140489,marcella hazan,Essentials of classic Italian cooking / by Marcella Hazan ; illustrated by Karin Kretschmann.,20777,19552,marcella hazan,essentials of classic italian cooking,exact
why zebras don t get ulcers unabridged,174403,robert m sapolsky,Why Zebras Don't Get Ulcers (Unabridged),21860,327,robert m sapolsky,why zebras don t get ulcers,wgt_jaccard_0.1
why zebras don t get ulcers,214007,robert sapolsky m,Why zebras don't get ulcers / Robert M. Sapolsky.,21860,327,robert m sapolsky,why zebras don t get ulcers,exact
rick steves italy 2017,22917,rick steves,Rick Steves Italy 2017.,22441,21260,rick steves,rick steves italy 2007 rick steves,wgt_jaccard_0.45
rick steves italy 2018,135016,rick steves,Rick Steves Italy 2018.,22441,21260,rick steves,rick steves italy 2007 rick steves,wgt_jaccard_0.45
